編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLOLJHKGFBG97CC,28,49.19,住家用,鋼筋混凝土造,85年11月8日,五層,,
RPWNMLOLJHKGFBG58CC,22,21.57,住家用,鋼筋混凝土造,91年8月20日,七層,,
RPWNMLOLJHKGFBG58CC,22,8.63,共有部份,鋼筋混凝土造,91年8月20日,七層,,
RPQNMLOLJHKGFBG97CC,28,13.61,共有部份,鋼筋混凝土造,85年11月8日,五層,,
RPWNMLOLJHKGFBG58CC,22,5.27,共有部份,鋼筋混凝土造,91年8月20日,七層,,
RPQNMLOLJHKGFBG97CC,28,2.54,共有部份,鋼筋混凝土造,85年11月8日,五層,,
RPQNMLOLJHKGFBG97CC,28,9.85,共有部份,鋼筋混凝土造,85年11月8日,五層,,
RPRNMLOLJHKGFAG97CC,31,71.95,住家用,鋼筋混凝土造,82年12月16日,五層,,
RPPNMLOLJHKGFAG77CC,33,208.63,住家用,鋼筋混凝土造,81年7月9日,三層,,
RPRNMLOLJHKGFAG97CC,31,15.72,梯間．停車場,鋼筋混凝土造,82年12月16日,五層,,
RPTNMLOLJHKGFAG18CC,45,51.80,住家用,鋼筋混凝土造,68年9月15日,五層,,
RPSNMLOLJHKGFAG08CC,28,57.85,住家用,鋼筋混凝土造,85年10月3日,十二層,,
RPSNMLOLJHKGFAG08CC,28,11.56,停車場、法定防空避難室、機車停車場、私設防空避難室﹙共同使用部份﹚,鋼筋混凝土造,85年10月3日,十二層,,
RPSNMLOLJHKGFAG08CC,28,10.68,通道、梯間﹙共同使用部份,鋼筋混凝土造,85年10月3日,十二層,,
RPQNMLSJKHKGFAG18CC,30,100.98,住家用,鋼筋混凝土造,84年3月6日,四層,,
RPQNMLSJKHKGFAG18CC,30,10.10,共同使用（樓梯）,鋼筋混凝土造,84年3月6日,四層,,
RPQNMLRJKHKGFBG18CC,31,36.34,住家用,鋼筋混凝土造,82年10月19日,七層,,
RPQNMLRJKHKGFBG18CC,31,10.76,共有部份,鋼筋混凝土造,82年10月19日,七層,,
RPPOMLOLJHKGFBG97CC,34,131.10,住家用,鋼筋混凝土造,80年5月22日,五層,,
RPPOMLOLJHKGFBG97CC,,2.70,共有部份,,,,,
RPRNMLRJKHKGFBG28CC,27,166.91,鄉村住宅、停車場,鋼筋混凝土造,86年11月3日,四層,,
RPRNMLRJKHKGFBG28CC,27,23.18,共有部份,鋼筋混凝土造,86年11月3日,四層,,
RPTNMLSJKHKGFBG58CC,27,69.57,住家用,鋼筋混凝土造,86年9月17日,八層,,
RPTNMLSJKHKGFBG58CC,27,13.96,共有部份,鋼筋混凝土造,86年9月17日,八層,,
RPTNMLSJKHKGFBG58CC,27,44.86,共有部份,鋼筋混凝土造,86年9月17日,八層,,
RPSNMLRJKHKGFBG38CC,27,30.99,住家用,鋼筋混凝土造,86年8月11日,六層,,
RPSNMLRJKHKGFBG38CC,27,7.93,共有部份,鋼筋混凝土造,86年8月11日,六層,,
RPSNMLRJKHKGFBG38CC,27,13.48,共有部份,鋼筋混凝土造,86年8月11日,六層,,
RPQOMLOLJHKGFBG08CC,13,28.33,集合住宅,鋼筋混凝土造,100年12月23日,四層,,
RPQOMLOLJHKGFBG08CC,13,2.75,本共有部分之項目有樓梯間等１項,鋼筋混凝土造,100年12月23日,四層,,
RPQOMLOLJHKGFBG08CC,13,5.70,本共有部分之項目有停車空間、樓梯間等２項,鋼筋混凝土造,100年12月23日,四層,,
RPPNMLRJKHKGFBG08CC,31,100.86,住家用,鋼筋混凝土造,83年3月19日,五層,,
RPPNMLRJKHKGFBG08CC,31,7.69,共有部份,鋼筋混凝土造,83年3月19日,五層,,
RPSNMLSJKHKGFBG48CC,28,46.25,住家用,鋼筋混凝土造,85年12月20日,七層,,
RPSNMLSJKHKGFBG48CC,29,5.93,共有部份,鋼筋混凝土造,85年2月20日,七層,,
RPSNMLSJKHKGFBG48CC,28,7.25,共有部份,鋼筋混凝土造,85年12月20日,七層,,
RPSNMLSJKHKGFBG48CC,28,.56,共有部份,鋼筋混凝土造,85年12月20日,七層,,
RPUNMLSJKHKGFAG58CC,2,68.26,集合住宅,鋼筋混凝土（ＲＣ）,111年8月23日,六層,,
RPUNMLSJKHKGFAG58CC,2,23.39,本共有部分之項目有：停車空間、管委會空間、樓梯間等３項。,鋼筋混凝土（ＲＣ）,111年8月23日,六層,,
RPQNMLOKKHKGFBG97CC,19,71.58,住商用,鋼筋混凝土造,94年11月4日,三層,,
RPQNMLLLKHKGFAG67CC,20,295.47,店舖．住宅,鋼筋混凝土造,94年6月16日,四層,,
RPPNMLLLKHKGFAG57CC,20,295.41,店舖．住宅,鋼筋混凝土造,94年6月16日,四層,,
