編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPWPMLMLJHKGFAH58CC,中路三段,19.96,都市：住,,,,00850000
RPXNMLOJKHKGFBH68CC,石頭段,6.42,都市：商,,,,00370017
RPPNMLOJKHKGFBH97DC,石頭段,5.95,都市：住,,,,04040000
RPPOMLOJKHKGFHH58CC,陳厝段,462.81,都市：其他:保護區,,,,01630000
RPROMLPJKHKGFBH28CC,中工段,151.00,都市：其他:乙種工業區、道路用地,,,,13320002
RPROMLPJKHKGFBH28CC,中工段,2147.00,都市：工,,,,13320003
RPQNMLPJKHKGFFH48CC,興仁段,10.95,都市：商,,,,06070000
RPPNMLQJKHKGFHH68CC,陳厝段,165.29,都市：其他:保護區,,,,11520000
RPSPMLLKKHKGFAH08CC,水汴頭段,54.71,都市：商,,,,00530000
RPRPMLLKKHKGFAH97CC,大興段,9.33,都市：住,,,,01990000
RPPNMLNKKHKGFBH97DC,中北段,23.14,都市：住,,,,06870005
RPPNMLPKKHKGFFH48CC,同福段,204.28,都市：住,,,,04630000
RPTOMLOLKHKGFBH58CC,青溪段,18.16,都市：住,,,,05320000
